Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TJ;product:21;start:1402113628241;end:1403312412848&fraction_traffic=region:TJ;product:21;start:1402113628241;end:1403312412848,TJ,Tajikistan,YouTube,2014-06-09,2014-06-19,Radio Free Europe/Radio Liberty,"http://www.rhttp://en.rsf.org/tajikistan-youtube-blocked-google-partly-13-06-2014,46438.htmlferl.org/content/youtube-partially-blocked-in-tajikistan/25416452.html",YouTube Partially Blocked In Tajikistan,The chairman of Tajikistan's Association of Internet Service Providers told RFE/RL that YouTube stopped being accessible [...] as of June 9.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CN;product:19;start:1400904054606&fraction_traffic=region:CN;product:19;start:1400904054606,CN,China,Web Search,2014-06-01,,Bloomberg,http://www.bloomberg.com/news/2014-06-02/google-s-china-services-slow-before-tiananmen-anniversary.html,Google's China Services Slow Ahead of Anniversary,Google Inc. services in China face blockages as the government tightens Internet controls ahead of the anniversary of the Tiananmen Square c…
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IR;product:14;start:1395979208932&fraction_traffic=region:IR;product:14;start:1395979208932,IR,Iran,Google Sites,2014-04-07,,,,,Google Sites partially accessible
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TR;product:21;start:1395669628789;end:1402038033471&fraction_traffic=region:TR;product:21;start:1395669628789;end:1402038033471,TR,Türkiye,YouTube,2014-03-27,2014-06-04,Bloomberg,http://www.bloomberg.com/news/2014-03-27/turkey-blocks-youtube-after-leak-of-syria-incursion-planning.html,Turkey Blocks YouTube After Syria Incursion Plans Leaked,Turkey’s telecommunications authority said yesterday it had blocked access to YouTube.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SY;product:19;start:1392789659735;end:1392962456078&fraction_traffic=region:SY;product:19;start:1392789659735;end:1392962456078,SY,Syria,Web Search,2014-02-20,2014-02-20,Renesys,https://twitter.com/renesys/status/436511307789905920,Near-total Internet blackout in Syria,"Following near-total Internet blackout in #Syria, service returns at 14:29:44 UTC"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:CN;product:9;start:1390280442499;end:1390366813868&fraction_traffic=region:CN;product:9;start:1390280442499;end:1390366813868,CN,China,Google Maps,2014-01-21,2014-01-21,Wall Street Journal,http://blogs.wsj.com/digits/2014/01/21/chinas-sina-baidu-and-other-big-websites-are-hit-with-disruptions/,China Websites Hit with Disruptions,A large portion of Internet traffic in China on Tuesday was redirected to servers run by a small U.S. company.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:IQ;product:19;start:1381388421951;end:1381561226871&fraction_traffic=region:IQ;product:19;start:1381388421951;end:1381561226871,IQ,Iraq,Web Search,2013-10-10,2013-10-11,Renesys,http://b2b.renesys.com/eventsbulletin/2013/10/IQ-1381404630.html,97 networks out in Iraq,97 networks experienced an outage in Iraq starting at 11:30 UTC on October 10. This represents 17% of the routed networks in the country.
https://transparencyreport.google.com/traffic/overview?disruption_history=region:SD;product:19;start:1379415619805;end:1380949238558&fraction_traffic=region:SD;product:19;start:1379415619805;end:1380949238558,SD,Sudan,Web Search,2013-09-25,2013-09-26,The Guardian,http://www.theguardian.com/technology/2013/sep/25/sudan-internet-cut-khartoum-protests,Sudan internet cut off as protests erupt against government in Khartoum,The move to cut connections appears to have been done by the government to prevent protesters using social media to organise riots. 
https://transparencyreport.google.com/traffic/overview?disruption_history=region:MM;product:19;start:1375599620339;end:1375686059209&fraction_traffic=region:MM;product:19;start:1375599620339;end:1375686059209,MM,Myanmar (Burma),Web Search,2013-08-05,2013-08-05,Renesys,http://www.renesys.com/2013/08/myanmar-internet/,Myanmar Internet Disruptions,"On 5 August, all routed networks to Myanmar were withdrawn from the global routing table for a little over an hour resulting in a brief, but…"
https://transparencyreport.google.com/traffic/overview?disruption_history=region:TJ;product:21;start:1369119634247;end:1380610802422&fraction_traffic=region:TJ;product:21;start:1369119634247;end:1380610802422,TJ,Tajikistan,YouTube,2013-05-23,2013-08-20,RIA Novosti,http://www.en.rian.ru/world/20130525/181339520.html,Tajikistan Blocks YouTube After Dancing President Video,"The ban may be backlash over a video report of the wedding of President Emomali Rakhmon’s son Rustam, BBC Russian said."
